                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6479,                 2.7821,                 1.6065,                0.50033,                0.40368,                 0.4078,                0.19176,                 1.6808,                 2.1342,                 1.5022,              0.0033166,              0.0033166,              0.0033166
                      2,                 1.5062,                 2.0463,                 1.4954,                0.52008,                0.42062,                0.40544,                0.18643,                 1.7439,                 2.1649,                 1.5688,               0.006617,               0.006617,               0.006617
                      3,                 1.5475,                 1.9936,                  1.518,                0.42035,                0.33801,                0.31246,                0.13514,                 1.8806,                 2.4194,                 1.7092,              0.0098844,              0.0098844,              0.0098844
                      4,                 1.6141,                  2.018,                 1.5738,                0.49097,                0.42153,                0.39338,                0.16807,                 1.8934,                 2.1954,                  1.667,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5805,                 1.9248,                 1.5508,                0.45613,                0.37835,                 0.3659,                 0.1682,                 1.8467,                 2.1133,                  1.662,               0.009802,               0.009802,               0.009802
                      6,                 1.5448,                 1.8538,                  1.528,                0.53528,                0.48075,                0.46722,                0.21261,                 1.7624,                 1.9804,                 1.5657,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.5177,                  1.796,                  1.504,                0.52724,                0.48768,                0.47597,                0.21396,                 1.8323,                 2.0366,                 1.6168,               0.009703,               0.009703,               0.009703
                      8,                 1.4965,                 1.7858,                 1.5009,                 0.5536,                0.49144,                 0.4932,                0.23263,                  1.753,                 1.8172,                 1.5654,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4663,                 1.7479,                 1.4827,                0.63272,                0.51391,                0.54982,                0.27552,                 1.6394,                  1.693,                 1.4922,               0.009604,               0.009604,               0.009604
                     10,                 1.4551,                 1.7026,                 1.4777,                0.59159,                0.52084,                0.53856,                0.26578,                 1.6379,                 1.7687,                 1.4901,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4542,                 1.6906,                 1.4818,                0.64192,                0.56631,                0.60382,                0.30741,                 1.6203,                 1.6461,                 1.4739,               0.009505,               0.009505,               0.009505
                     12,                 1.4119,                 1.6581,                 1.4609,                 0.6387,                0.52262,                0.56099,                 0.2852,                 1.6508,                 1.6885,                 1.5083,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4254,                  1.655,                 1.4643,                0.66634,                0.54041,                0.59155,                0.31476,                 1.5976,                 1.5811,                 1.4545,               0.009406,               0.009406,               0.009406
                     14,                 1.4119,                 1.6308,                 1.4485,                0.61495,                0.56295,                0.57265,                0.28314,                 1.5982,                 1.6444,                 1.4593,              0.0093565,              0.0093565,              0.0093565
